time_sec,samples_in_window,mean_b0_ch0,mean_b0_ch1,mean_b0_ch2,mean_b0_ch3,mean_b0_ch4,mean_b0_ch5,mean_b0_ch6,mean_b0_ch7,mean_b1_ch0,mean_b1_ch1,mean_b1_ch2,mean_b1_ch3,mean_b1_ch4,mean_b1_ch5,mean_b1_ch6,mean_b1_ch7,mean_b2_ch0,mean_b2_ch1,mean_b2_ch2,mean_b2_ch3,mean_b2_ch4,mean_b2_ch5,mean_b2_ch6,mean_b2_ch7,mean_b3_ch0,mean_b3_ch1,mean_b3_ch2,mean_b3_ch3,mean_b3_ch4,mean_b3_ch5,mean_b3_ch6,mean_b3_ch7,mean_b4_ch0,mean_b4_ch1,mean_b4_ch2,mean_b4_ch3,mean_b4_ch4,mean_b4_ch5,mean_b4_ch6,mean_b4_ch7,mean_b5_ch0,mean_b5_ch1,mean_b5_ch2,mean_b5_ch3,mean_b5_ch4,mean_b5_ch5,mean_b5_ch6,mean_b5_ch7,var_b0_ch0,var_b0_ch1,var_b0_ch2,var_b0_ch3,var_b0_ch4,var_b0_ch5,var_b0_ch6,var_b0_ch7,var_b1_ch0,var_b1_ch1,var_b1_ch2,var_b1_ch3,var_b1_ch4,var_b1_ch5,var_b1_ch6,var_b1_ch7,var_b2_ch0,var_b2_ch1,var_b2_ch2,var_b2_ch3,var_b2_ch4,var_b2_ch5,var_b2_ch6,var_b2_ch7,var_b3_ch0,var_b3_ch1,var_b3_ch2,var_b3_ch3,var_b3_ch4,var_b3_ch5,var_b3_ch6,var_b3_ch7,var_b4_ch0,var_b4_ch1,var_b4_ch2,var_b4_ch3,var_b4_ch4,var_b4_ch5,var_b4_ch6,var_b4_ch7,var_b5_ch0,var_b5_ch1,var_b5_ch2,var_b5_ch3,var_b5_ch4,var_b5_ch5,var_b5_ch6,var_b5_ch7
1.442,36,59.2866669,59.2895927,71.5492859,59.3142967,59.2870293,59.2938309,59.2905006,59.2935028,57.0740547,57.0769501,69.6908646,57.1032257,57.0746117,57.0802536,57.0778351,57.0806122,56.3345261,56.3377571,68.8523636,56.3627472,56.3345833,56.3406372,56.3385544,56.3421974,50.5540276,50.5577431,63.1587982,50.5822563,50.5547562,50.56073,50.5587807,50.562973,46.7816658,46.7846947,60.2887039,46.8128815,46.7824478,46.7877998,46.7854385,46.7888603,52.2184639,52.2219162,65.2189713,52.2487221,52.2188568,52.2245827,52.2226295,52.2266426,0.766912699,0.766165018,0.475079447,0.764399648,0.765934229,0.767987788,0.765684128,0.763434947,2.53811789,2.53719997,1.28202927,2.52532458,2.53582263,2.53898478,2.53309584,2.53100777,7.8708806,7.86352015,5.36032915,7.84863901,7.86589813,7.8722477,7.85547352,7.84292269,2.68165517,2.6826818,2.23573899,2.68217206,2.68049622,2.68069911,2.68372059,2.68702865,1.59073508,1.59127021,1.94942594,1.596609,1.58958817,1.59099555,1.59368813,1.59747171,1.10653985,1.1043787,0.683542669,1.10107064,1.10529995,1.10566008,1.10360384,1.09899318
1.656,44,61.812149,61.821804,69.125946,61.8036346,61.8126869,61.8113174,69.2549286,68.9268646,36.262001,36.2824326,48.9696007,36.2345161,36.2408867,36.2359085,47.0796509,48.4572716,31.9514179,31.9601822,46.9195938,31.8999023,31.9475212,31.9353409,39.9374352,43.6974525,29.6223888,29.6235714,45.4928932,29.5776138,29.6153679,29.6154289,38.7897263,41.9615631,28.4402027,28.454298,42.6260872,28.3900642,28.4480228,28.4351368,36.6162262,39.1860924,27.4527702,27.4460888,42.8167038,27.3901997,27.4413395,27.4398365,35.2601051,38.1699257,87.9728317,87.8731384,57.568428,88.1125031,88.0379257,88.0795441,40.2099457,53.2709274,69.9937973,69.8140945,31.3446636,70.5573959,70.4398041,70.4755325,45.7027626,59.3696365,27.2362881,27.2700214,10.4088945,27.3143215,27.3828659,27.4093933,16.2658005,16.8560047,37.0033379,37.0258675,31.7875366,37.0147362,37.1516647,37.1971207,42.8566475,36.1132088,49.8980942,49.7873116,42.3796043,50.0393486,49.8572121,50.0614052,62.9365501,50.38974,82.5722122,82.9298019,73.4657135,82.8618622,82.8886566,82.9290314,86.5421219,98.4397049
2.729,51,50.6220589,51.127346,59.1803627,50.5900574,50.6040077,50.6036873,60.5973358,58.002739,31.6325054,32.4429626,45.2767792,31.5782948,31.5982742,31.5962982,41.9297676,42.9729195,25.7737637,26.6429195,41.06427,25.7111607,25.7556076,25.7416515,35.0097427,38.0907288,22.2919197,22.7486267,37.4974899,22.2532558,22.2839375,22.2841358,31.3815079,33.3091965,19.099432,20.1618443,33.4875488,19.040863,19.1133919,19.1095276,26.9331436,28.6412716,19.3112946,20.8626251,34.9890366,19.2303123,19.2655678,19.2889004,27.2522736,28.9976864,85.320488,80.4612808,61.6087418,85.6124039,85.5493469,85.5573578,49.409668,84.2567368,15.3137388,22.2957268,17.7100449,15.3963833,15.3888483,15.4142952,10.7383385,39.6599808,24.1473103,27.9253464,49.4532661,24.2077637,24.2476158,24.2848568,29.7976494,67.2730179,40.2526894,40.7335052,62.5736237,40.2507324,40.3619843,40.4307175,35.4515724,126.502434,83.884613,96.2284012,64.665741,84.0565262,83.5679932,83.3951721,64.244873,151.929764,91.425621,117.949905,89.7325287,91.3648529,91.6679459,91.249115,71.4349213,136.805511
3.306,51,45.7903366,47.3191109,54.9623871,45.7426262,45.7573242,45.7583733,56.6152687,53.1072159,32.3880615,34.5902138,46.6398506,32.313652,32.3473358,32.3473663,42.5117073,42.9181252,25.3705082,27.7385502,41.8011971,25.2937412,25.3536472,25.3444328,35.2255516,38.0498581,21.4543343,22.3668461,36.7353172,21.4346466,21.4618034,21.4626865,31.2192783,32.475235,18.2043896,21.1840038,31.7303944,18.1398468,18.2052765,18.2034473,26.3004322,26.8752155,19.8692741,23.7420197,36.1468811,19.7502556,19.7975674,19.8216267,28.1725445,29.2849579,18.6093311,21.8236217,10.2365923,18.6321678,18.6215286,18.6336784,10.899826,18.877039,16.2109814,35.2700424,29.1242371,16.1283073,16.2098026,16.2461586,14.4211235,38.3633919,18.2693214,38.7477608,59.2801628,18.1652527,18.3560238,18.4304161,31.9984055,66.6197968,30.2606144,35.9691315,51.0881233,30.4458179,30.513155,30.5798321,33.3502502,109.673813,68.1503372,114.994759,40.0448647,68.1929092,67.6541519,67.5179291,54.8978004,115.429581,100.957245,178.121429,110.960602,100.168129,100.71978,100.293213,85.9615479,142.665222
6.546,49,45.2733459,52.0663872,52.2500191,45.163456,45.200798,45.2033043,56.9627762,57.0644264,27.9892654,33.6117287,39.0202026,27.9350243,27.9214516,27.9266949,40.7010193,40.4454422,20.6248016,24.7362404,34.8222694,20.5121613,20.5994911,20.634449,30.3914528,31.6660404,12.6093273,15.3673449,29.9301014,12.540369,12.5757961,12.6092043,21.6324482,23.2776508,10.4515133,11.7673273,28.5248547,10.5107336,10.493001,10.4947758,19.5845909,21.2742462,12.2414474,16.743042,30.2035503,12.2815104,12.2719574,12.2895308,23.0012665,24.5670643,7.52629519,7.55934381,2.53438377,7.58036089,7.5900054,7.59292173,5.59662151,9.58898163,19.2702103,40.4882698,5.02852249,19.1438198,19.1480961,19.0690746,6.80056429,3.67206454,20.3488197,32.8018227,8.50867176,20.3138924,20.4720001,20.1712055,15.2462549,9.33244038,13.6428652,32.140213,5.25745106,13.717248,13.4982471,13.249239,30.7422333,9.23446751,23.8748016,25.5327244,6.48293495,23.1933784,23.1111031,23.3513508,15.7391481,25.5069733,2.76633382,4.02689838,2.68536615,2.76013017,2.8281846,2.7818718,1.99600065,2.94561958
7.244,49,45.462326,50.3564911,53.0773888,45.3800964,45.4161606,45.4178162,55.7378845,58.9103241,27.6427555,30.7864494,40.2910423,27.6175537,27.6144676,27.6224499,39.1714897,40.5286331,20.4842873,22.7388992,36.0405312,20.3813457,20.474226,20.5138779,28.2572002,30.582262,13.5736723,14.736186,32.4310799,13.5094652,13.5784092,13.6087961,19.6518574,23.0720634,10.4424505,11.4938183,29.651083,10.4983063,10.50702,10.5015936,18.0400429,19.6354504,15.5643883,18.4309387,32.5658493,15.5624075,15.5705118,15.5843887,24.7278347,26.5033016,13.4898987,17.217701,5.36233521,13.5523653,13.5422802,13.5457058,10.7415981,0.664535165,27.0355377,35.7584953,33.4583244,27.2022457,27.2982941,27.2189522,4.57425165,3.7162745,46.9397812,51.7994576,46.8862648,47.2852554,47.4263992,46.9608459,21.4274845,15.3882122,49.4806252,54.0612526,38.4877548,50.2119865,49.9113045,49.5648575,42.8132286,18.5716724,41.2476616,41.1166725,31.5140228,40.6708488,40.5208817,40.6580162,24.5131207,28.8615036,42.4178162,25.9585781,42.6683388,42.0528374,42.4550972,42.3194237,4.47535324,10.6393347
4.023,51,20.184803,20.1985874,16.2378063,20.2165871,20.164711,20.2405319,20.2669582,30.0380592,12.6783123,12.7002935,16.850666,12.6699419,12.6940556,12.6536293,12.7235279,21.8072567,9.4242754,9.47635269,13.8674307,9.51341343,9.4848423,9.47702026,9.43725586,17.6749821,9.91080475,9.87596226,13.4931202,9.90892124,9.82244968,9.81872463,9.85466766,19.3255482,7.56158686,7.59101963,10.733017,7.60011959,7.58450985,7.61276484,7.54298019,16.8056488,11.8162966,11.8532152,14.1244516,11.8598022,11.8317871,11.8432932,11.8565674,21.2813702,13.832242,13.4204473,31.4971905,13.3843641,13.6885681,13.5556698,13.2906561,13.2883615,3.80594468,3.76708865,20.0679321,3.70928168,3.75081563,3.77075148,3.72069383,4.76542425,1.79435372,1.73289645,23.6641846,1.76882207,1.81204331,1.68320298,1.51203918,1.82498932,5.31043386,5.47521162,29.9661484,5.28748465,5.47531557,5.33880901,5.04616976,5.33825111,13.7040949,13.6750355,51.7210007,13.3815994,13.5927639,13.5850344,12.9880552,10.7781458,4.7408886,4.63788557,47.895237,4.55427361,4.55401039,4.53421211,4.14937925,5.92777729
5.995,51,31.3177872,31.3130455,17.433197,31.3077641,31.3024521,31.3123322,32.3255119,30.4738674,22.1490574,22.1712551,17.1528625,22.2017822,22.1808453,22.172905,23.0927258,24.1455517,18.7835674,18.8348446,14.1220188,18.8111782,18.8101559,18.8307247,19.7957478,25.2315884,19.4679031,19.4597435,14.3481579,19.4792919,19.4479809,19.4526672,20.4437847,24.162075,18.4481564,18.4328232,11.743783,18.4433517,18.4250584,18.4131947,19.354784,24.20755,23.0940762,23.0982723,16.6789017,23.1268024,23.094492,23.1124916,24.1896229,30.0459805,25.6258945,25.6010303,20.2021408,25.6360435,25.7417603,25.5777111,33.520752,10.7766933,34.512886,34.0726547,32.0313492,34.1904869,34.0283546,34.2053032,57.0970497,26.7409306,46.6756706,46.0172157,29.3592796,46.2137947,46.379055,46.2765465,72.1616669,29.3793392,52.4322662,52.6330795,30.3669071,52.4858055,52.8170242,52.6939278,77.8933105,31.2687759,77.1217651,77.609024,42.9128151,77.2589417,77.4550629,77.8836746,103.282074,51.9320221,69.3672562,69.1711121,43.0559082,68.7738113,69.2761536,68.9187469,95.496666,46.6882782
8.275,50,30.6616993,30.6725559,23.5760841,30.6759014,30.6700726,30.6705551,39.404686,37.3882599,30.2809887,30.289505,23.1578369,30.2966061,30.2865257,30.2861824,39.4371529,37.5365219,30.9083004,30.9109821,22.6251602,30.9101791,30.9028416,30.9110355,40.2448006,37.5557022,30.819191,30.8266163,22.3723392,30.830019,30.8248806,30.8255196,40.3045883,37.6314659,30.3444881,30.3445339,22.1192379,30.3528633,30.3549213,30.3503361,39.530632,37.3547859,31.0524826,31.0563068,24.9525776,31.0653419,31.0602245,31.0660286,40.7132645,38.1625404,11.1830721,11.1520767,49.3531952,11.1450176,11.1522522,11.1348591,10.4067097,5.16953611,20.4883595,20.3990364,57.8741341,20.4667358,20.4551201,20.4472294,16.2128048,15.4398203,20.3884525,20.3914318,62.6355095,20.4177589,20.428751,20.4074783,17.7235813,17.9659595,22.1677017,22.1503315,60.7610893,22.1224155,22.1300812,22.1604519,18.3414307,19.4649372,21.1108437,21.1272907,58.522274,21.1116486,21.0924835,21.0529003,17.4635315,19.2381325,74.6948624,74.5363235,73.0318985,74.4928665,74.5327148,74.2428131,52.6991386,68.4052963
24.639,50,50.6964607,19.9914627,15.4137173,49.152916,53.0874557,52.5083923,14.7579174,13.8816004,38.939537,18.4159393,13.29636,39.4644852,40.3955536,41.2336807,16.2516994,13.1799793,32.7067451,16.4807625,10.8452196,29.7670784,31.9932232,35.1981239,13.276782,11.9067593,29.0729733,15.4901781,10.4878616,26.4105816,29.8812771,35.2256927,11.9607401,10.8697023,26.3447418,13.5876207,8.36968231,23.8172798,26.4420795,32.1788979,10.1768599,9.32087994,27.9515762,18.408699,13.3544388,26.3156624,30.5781593,36.8072014,14.8565016,11.8749828,7.13766909,1.04832804,0.86066407,9.4325037,5.57653427,11.9602871,6.4351058,24.1194077,13.7616491,2.76537943,6.5485158,35.3672752,20.3805256,15.4003954,2.04791451,37.943676,10.0567856,1.88166046,2.19091916,9.58065033,3.72895789,1.40176404,2.91077471,58.5790443,6.89479446,6.33589172,1.4248786,5.04203224,2.06747079,1.50298738,3.60463691,79.9937057,7.64488602,18.6093349,7.69272661,0.573791087,5.08449602,10.9631128,18.1975079,107.52774,1.62589002,12.919879,6.90975809,2.54163837,5.2293458,6.54132748,9.5303936,117.037361
